fullVisitorId,visitNumber,medium_cleaned,transactions,revenue_usd
4014811024560862604,2,Direct,,
5539987090646843575,1,affiliate,,
524575239888647094,1,Direct,,
6625038677321243076,1,Direct,,
3521806204260419509,2,Direct,,
7330118938075583419,1,Direct,,
2036152398282653451,1,affiliate,,
2657428968210366294,2,Direct,,
8087841966210189725,1,affiliate,,
3615582342474303767,1,Direct,,
7031696568854190536,1,referral,,
3045488722915571106,3,referral,,
9818230966696500260,1,Direct,,
9913770964420598308,1,Direct,,
7259793967277980915,1,Direct,,
7205558202971104600,1,Direct,,
7244851788005135027,1,affiliate,,
9451863062645609455,1,affiliate,,
1646298838101557988,1,Direct,,
1199127111840062551,1,Direct,,
953963101114158463,15,Direct,,
1136871809410347969,1,Direct,,
0788483607215717576,4,cpm,,
989476285417573213,3,Direct,,
737965828689819099,1,Direct,,
7856366259376173932,1,Direct,,
1633174808753059793,1,Direct,,
953963101114158463,14,Direct,,
8041636253100209289,1,Direct,,
9127817804140120297,12,cpm,,
3797611523116812545,1,Direct,,
0810056835717560993,1,affiliate,,
953963101114158463,13,Direct,,
5007713052771491430,1,Direct,,
3172529546880496209,1,affiliate,,
2862685332812863031,1,Direct,,
9703894044104477637,1,Direct,,
7728473996020752008,1,Direct,,
9534537897118577344,23,Direct,,
3574050116188741373,6,Direct,,
9789301016424599905,1,Direct,,
3226467845129526280,1,Direct,,
1345596698266927031,1,Direct,,
0824839726118485274,324,Direct,,
5593165965585791349,1,Direct,,
8815248280989879020,1,Direct,,
1242884061564809863,2,Direct,,
4348534616763220944,3,cpm,,
9402336856861456813,1,Direct,,
7774475605373791347,1,Direct,,
9348422734394164407,1,referral,,
1227266464713910124,1,affiliate,,
3537502639013436697,1,Direct,,
6340410620857622455,1,Direct,,
5846783988894657565,2,Direct,,
5198339840255869263,1,Direct,,
4445654248601525558,1,affiliate,,
7190058981647563072,1,Direct,,
6226333865933623934,1,referral,,
553904149065456549,9,Direct,,
7840352286616007230,1,Direct,,
7190334846250574340,1,Direct,,
6595557726869891288,1,Direct,,
904964394001515744,2,referral,,
5047297722423923898,1,Direct,,
3525895990700986862,1,Direct,,
6194425930757807395,1,Direct,,
6680930980326748883,1,Direct,,
4233865490483226325,1,Direct,,
022116265203785171,1,Direct,,
1127140774152771889,1,Direct,,
4966246527196176619,1,Direct,,
0134390905902626886,1,Direct,,
6438623357894672750,1,referral,,
6022725401734649731,6,Direct,,
0598442704651565526,1,Direct,,
989476285417573213,8,Direct,,
2527010428973960277,1,Direct,,
9588245619181295435,1,Direct,,
1391998636607008257,1,Direct,,
7981555420488548415,2,Direct,,
0477363291041818451,1,Direct,,
4703393373498740391,1,Direct,,
2890439637455035665,1,Direct,,
6532336998418182128,1,Direct,,
1624180704186179841,1,Direct,,
5505195836233749743,1,Direct,,
2016380169663343939,1,affiliate,,
3202046642104549086,1,referral,,
7583545243943634658,1,Direct,,
7547809797503076660,1,Direct,,
3618198295098855680,1,Direct,,
7302645562475779147,1,Direct,,
1032102081590411629,1,Direct,,
1004900396518749199,1,affiliate,,
2489889169499098350,1,Direct,,
957249956136453928,1,Direct,,
4347869683979988584,1,Direct,,
8260629454445972058,2,Direct,,
6008852899645973932,3,cpm,,
7884417060813986529,1,Direct,,
9049842828832543786,2,Direct,,
3941161487503838876,1,Direct,,
1734462073955583150,3,Direct,,
2906686187493767830,1,cpm,,
4932594656496079157,1,Direct,,
359840662576786660,2,referral,,
685447310443807284,1,Direct,,
116660765712518996,1,Direct,,
4902383918533506382,1,Direct,,
7588864889717253597,1,Direct,,
9913611136952101211,1,Direct,,
953963101114158463,16,Direct,,
3517376392676891805,1,Direct,,
0206737608790861506,1,Direct,,
1730381012139416869,1,Direct,,
0321896858334455826,2,cpm,,
3574050116188741373,5,Direct,,
027767061631008924,1,Direct,,
20277134929399050,1,Direct,,
5208937953046059083,57,Direct,,
4902150795632380376,1,Direct,,
5248803942117484782,9,Direct,,
6464844053179734119,2,affiliate,,
1328955635318713141,1,Direct,,
6977602982760806075,1,Direct,,
6297592582318216795,1,Direct,,
9671050416087885328,1,Direct,,
7112721547828839919,1,Direct,,
7626949744422668034,1,Direct,,
4569974032435465206,1,affiliate,,
4208780694799288530,3,Direct,,
5994372963373744057,1,Direct,,
3387281260224146216,5,Direct,,
4348534616763220944,2,cpm,,
1520207925191709940,1,referral,,
989476285417573213,2,Direct,,
1406733685798126570,1,Direct,,
0975185605693429842,1,affiliate,,
9433622059945005859,3,Direct,,
8412469236532441798,4,Direct,,
7363902592115128167,3,Direct,,
3786530806112719936,2,cpm,,
947515130442894549,1,Direct,,
9127817804140120297,15,cpm,,
0733163838309571172,10,Direct,,
0105885331320818904,1,Direct,,
892077486419831035,1,Direct,,
800181017155803466,1,Direct,,
9432112027204210015,7,Direct,,
1025170263079533700,1,Direct,,
1154427369755583005,1,Direct,,
7226406078178324017,2,Direct,,
9997118826789583710,1,Direct,,
5635189332405254119,1,Direct,,
5048307889991378192,1,Direct,,
9806611364669215057,1,affiliate,,
4290622401033335525,4,referral,,
2319732152146876900,1,Direct,,
198148152759699394,2,Direct,,
456046183849005704,1,affiliate,,
0932954283599205181,1,Direct,,
5057209555365043140,1,Direct,,
2476583565313717339,1,affiliate,,
9127817804140120297,14,cpm,,
6031002526192491619,1,affiliate,,
2258985791249948361,1,Direct,,
2331129073826997171,1,Direct,,
8340261066982371443,1,Direct,,
8269804184882170738,5,referral,,
8225261037398815230,22,Direct,,
1782763969733896144,1,Direct,,
5433606188322260818,1,referral,,
3313239048663282776,2,referral,,
7236900230006391351,2,referral,,
3092572785050794433,1,referral,,
4843701161472659370,1,referral,,
4654505901311864962,30,referral,,
124917966225925489,1,referral,,
4228296902453040367,1,referral,,
9588415522710058489,1,referral,,
3043733003773194506,1,referral,,
3959941607737952816,1,referral,,
8462564233508587936,1,referral,,
1646220595621416260,1,referral,,
9941100895373908664,1,referral,,
